adduser	3.134
libvpx7:arm64	1.12.0-1+deb12u5
libvulkan1:arm64	1.3.239.0-1
libwavpack1:arm64	5.6.0-1
libwayland-client0:arm64	1.21.0-1
libwayland-cursor0:arm64	1.21.0-1
libwayland-egl1:arm64	1.21.0-1
libwayland-server0:arm64	1.21.0-1
libwbclient0:arm64	2:4.17.12+dfsg-0+deb12u3
libwebp7:arm64	1.2.4-0.2+deb12u1
libwebpdemux2:arm64	1.2.4-0.2+deb12u1
libwebpmux3:arm64	1.2.4-0.2+deb12u1
libwebrtc-audio-processing1:arm64	0.3-1+b1
libwildmidi2:arm64	0.4.3-1
libwmflite-0.2-7:arm64	0.2.12-5.1
libwrap0:arm64	7.6.q-32
libx11-6:arm64	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libx11-dev:arm64	2:1.8.4-2+deb12u2
libx11-xcb1:arm64	2:1.8.4-2+deb12u2
libx264-164:arm64	2:0.164.3095+gitbaee400-3
libx265-199:arm64	3.5-2+b1
libxau6:arm64	1:1.0.9-1
libxau-dev:arm64	1:1.0.9-1
libxaw7:arm64	2:1.0.14-1
libxcb1:arm64	1.15-1
libxcb1-dev:arm64	1.15-1
libxcb-damage0:arm64	1.15-1
libxcb-dri2-0:arm64	1.15-1
libxcb-dri3-0:arm64	1.15-1
libxcb-glx0:arm64	1.15-1
libxcb-present0:arm64	1.15-1
libxcb-randr0:arm64	1.15-1
libxcb-render0:arm64	1.15-1
libxcb-shape0:arm64	1.15-1
libxcb-shm0:arm64	1.15-1
libxcb-sync1:arm64	1.15-1
libxcb-xfixes0:arm64	1.15-1
libxcb-xkb1:arm64	1.15-1
libxcomposite1:arm64	1:0.4.5-1
libxcursor1:arm64	1:1.2.1-1
libxcvt0:arm64	0.1.2-1
libxdamage1:arm64	1:1.1.6-1
libxdmcp6:arm64	1:1.1.2-3
libxdmcp-dev:arm64	1:1.1.2-3
libxext6:arm64	2:1.3.4-1+b1
libxext-dev:arm64	2:1.3.4-1+b1
libxfixes3:arm64	1:6.0.0-2
libxfont2:arm64	1:2.0.6-1+deb12u1
libxft2:arm64	2.3.6-1
libxi6:arm64	2:1.8-1+b1
libxinerama1:arm64	2:1.1.4-3
libxkbcommon0:arm64	1.5.0-1
libxkbcommon-x11-0:arm64	1.5.0-1
libxkbfile1:arm64	1:1.1.0-1
libxml2:arm64	2.9.14+dfsg-1.3~deb12u5
libxmu6:arm64	2:1.1.3-3
libxmuu1:arm64	2:1.1.3-3
libxpm4:arm64	1:3.5.12-1.1+deb12u1
libxrandr2:arm64	2:1.5.2-2+b1
libxrender1:arm64	1:0.9.10-1.1
libxshmfence1:arm64	1.3-1
libxslt1.1:arm64	1.1.35-1+deb12u3
libxss1:arm64	1:1.2.3-1
libxt6:arm64	1:1.2.1-1.1
libxtables12:arm64	1.8.9-2
libxtst6:arm64	2:1.2.3-1.1
libxv1:arm64	2:1.0.11-1.1
libxv-dev:arm64	2:1.0.11-1.1
libxvidcore4:arm64	2:1.3.7-1
libxxf86dga1:arm64	2:1.1.5-1
libxxf86vm1:arm64	1:1.1.4-1+b2
libxxhash0:arm64	0.8.1-1
libyajl2:arm64	2.1.0-3+deb12u2
libyuv0:arm64	0.0~git20230123.b2528b0-1
libz3-4:arm64	4.8.12-3.1
libzbar0:arm64	0.23.92-7+deb12u1
libzimg2:arm64	3.0.4+ds1-1
libzmq5:arm64	4.3.4-6
libzstd1:arm64	1.5.4+dfsg2-5
libzvbi0:arm64	0.2.41-1
libzvbi-common	0.2.41-1
libzxing2:arm64	1.4.0-3+b1
linux-config-6.1:arm64	6.1.176-1
linux-headers-6.1.0-44-arm64	6.1.164-1
linux-headers-6.1.0-44-common	6.1.164-1
linux-headers-arm64	6.1.164-1
linux-kbuild-6.1	6.1.176-1
linux-libc-dev:arm64	6.1.176-1
linux-source-6.1	6.1.176-1
locales	2.36-9+deb12u13
login	1:4.13+dfsg1-1+deb12u2
logrotate	3.21.0-1
logsave	1.47.0-2+b2
lsb-release	12.0-1
lua5.1	5.1.5-9
luajit	2.1.0~beta3+git20220320+dfsg-4.1+deb12u1
m4	1.4.19-3
make	4.3-4.1
man-db	2.11.2-2
manpages	6.03-2
manpages-dev	6.03-2
mawk	1.3.4.20200120-3.1
media-types	10.0.0
mesa-va-drivers:arm64	22.3.6-1+deb12u1
mesa-vdpau-drivers:arm64	22.3.6-1+deb12u1
mesa-vulkan-drivers:arm64	22.3.6-1+deb12u1
mkvtoolnix	74.0.0-1
modemmanager	1.20.4-1
mount	2.38.1-5+deb12u3
nano	7.2-1+deb12u1
ncdu	1.18-0.2
ncurses-base	6.4-4
ncurses-bin	6.4-4
ncurses-term	6.4-4
needrestart	3.6-4+deb12u3
netbase	6.4
net-tools	2.10-0.1+deb12u2
network-manager	1.42.4-1+deb12u1
nfs-common	1:2.6.2-4+deb12u1
nftables	1.0.6-2+deb12u2
ntfs-3g	1:2022.10.3-1+deb12u3
ocl-icd-libopencl1:arm64	2.3.1-1
openssh-client	1:9.2p1-2+deb12u9
openssh-server	1:9.2p1-2+deb12u9
openssh-sftp-server	1:9.2p1-2+deb12u9
openssl	3.0.20-1~deb12u2
p7zip	16.02+dfsg-8
p7zip-full	16.02+dfsg-8
parted	3.5-3
passwd	1:4.13+dfsg1-1+deb12u2
patch	2.7.6-7
pci.ids	0.0~2023.04.11-1
pciutils	1:3.9.0-4
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
pinentry-curses	1.2.1-1
pkgconf:arm64	1.8.1-1
pkgconf-bin	1.8.1-1
pkg-config:arm64	1.8.1-1
pocketsphinx-en-us	0.8+5prealpha+1-15
polkitd	122-3
poppler-data	0.4.12-1
ppp	2.4.9-1+1.1+b1
procps	2:4.0.2-3
psmisc	23.6-1
publicsuffix	20230209.2326-1
python3.11	3.11.2-6+deb12u6
python3.11-minimal	3.11.2-6+deb12u6
python3	3.11.2-1+b1
python3-apt	2.6.0
python3-certifi	2022.9.24-1
python3-chardet	5.1.0+dfsg-2
python3-charset-normalizer	3.0.1-2
python3-colorzero	2.0-2
python3-debconf	1.5.82
python3-distro	1.8.0-1
python3-distutils	3.11.2-3
python3-gpiozero	1.6.2-1+b1
python3-idna	3.3-1+deb12u1
python3-lib2to3	3.11.2-3
python3-minimal	3.11.2-1+b1
python3-pkg-resources	66.1.1-1+deb12u2
python3-protobuf	3.21.12-3+deb12u1
python3-requests	2.28.1+dfsg-1
python3-rpi.gpio	0.7.1~a4-1+b4
python3-six	1.16.0-4
python3-urllib3	1.26.12-1+deb12u3
python-apt-common	2.6.0
python-is-python3	3.11.2-1+deb12u1
qttranslations5-l10n	5.15.8-2
read-edid	3.0.2-1.1
readline-common	8.2-1.3
rfkill	2.38.1-5+deb12u3
rng-tools-debian	2.3
rpcbind	1.2.6-6+b1
rpcsvc-proto	1.4.3-1
rpi.gpio-common:arm64	0.7.1~a4-1+b4
rsync	3.2.7-1+deb12u4
runc	1.1.5+ds1-1+deb12u1
runit-helper	2.15.2
sed	4.9-1
sensible-utils	0.0.17+nmu1
sgml-base	1.31
shared-mime-info	2.2-1
ssh	1:9.2p1-2+deb12u9
ssh-import-id	5.10-1
ssl-cert	1.1.2
strace	6.1-0.1
sudo	1.9.13p3-1+deb12u3
systemd	252.39-1~deb12u1
systemd-sysv	252.39-1~deb12u1
systemd-timesyncd	252.39-1~deb12u1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tasksel	3.73
tasksel-data	3.73
timgm6mb-soundfont	1.3-5
tini	0.19.0-1+b3
tzdata	2025b-0+deb12u2
ucf	3.0043+nmu1+deb12u1
udev	252.39-1~deb12u1
udisks2	2.9.4-4+deb12u2
unzip	6.0-28
usb-modeswitch	2.6.1-3+b1
usb-modeswitch-data	20191128-5
usbutils	1:014-1+deb12u1
usrmerge	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
uuid-dev:arm64	2.38.1-5+deb12u3
v4l-utils	1.22.1-5+b2
va-driver-all:arm64	2.17.0-1
vdpau-driver-all:arm64	1.5-2
vim	2:9.0.1378-2+deb12u2
vim-common	2:9.0.1378-2+deb12u2
vim-runtime	2:9.0.1378-2+deb12u2
vim-tiny	2:9.0.1378-2+deb12u2
wget	1.21.3-1+deb12u1
whiptail	0.52.23-1+b1
wireless-regdb	2026.05.30-1~deb12u1
wireless-tools	30~pre9-14
wpasupplicant	2:2.10-12+deb12u3
x11-apps	7.7+9
x11-common	1:7.7+23
x11proto-dev	2022.1-1
x11-session-utils	7.7+5
x11-utils	7.7+5
x11-xkb-utils	7.7+7
x11-xserver-utils	7.7+9+b1
xauth	1:1.1.2-1
xbitmaps	1.1.1-2.2
xcvt	0.1.2-1
xdg-user-dirs	0.18-1
xfonts-100dpi	1:1.0.5
xfonts-75dpi	1:1.0.5
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.4-2.2
xfonts-scalable	1:1.0.3-1.3
xfonts-utils	1:7.7+6
xinit	1.4.0-1
xkb-data	2.35.1-1
xml-core	0.18+nmu1
xorg	1:7.7+23
xorg-docs-core	1:1.7.1-1.2
xorg-sgml-doctools	1:1.11-1.1
xorgxrdp	1:0.9.19-1
xrdp	0.9.21.1-1+deb12u2
xserver-common	2:21.1.7-3+deb12u12
xserver-xorg	1:7.7+23
xserver-xorg-core	2:21.1.7-3+deb12u12
xserver-xorg-legacy	2:21.1.7-3+deb12u12
xterm	379-1
xtrans-dev	1.4.0-1
xz-utils	5.4.1-1
zip	3.0-13
zlib1g:arm64	1:1.2.13.dfsg-1
zlib1g-dev:arm64	1:1.2.13.dfsg-1
